Date,Name,Position,Seniority,Location,Studio,Client Tag,Project Tag,Team Name,Engagement,Email Leader,Month,Day
19Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.34,laura.leon@tec.globant.com,1,19
20Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.1,laura.leon@tec.globant.com,1,20
23Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.77,laura.leon@tec.globant.com,1,23
24Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.2,laura.leon@tec.globant.com,1,24
25Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.37,laura.leon@tec.globant.com,1,25
26Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.69,laura.leon@tec.globant.com,1,26
27Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.63,laura.leon@tec.globant.com,1,27
30Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.07,laura.leon@tec.globant.com,1,30
31Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.32,laura.leon@tec.globant.com,1,31
01Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.16,valeria.diaz@tec.globant.com,2,1
02Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.6,valeria.diaz@tec.globant.com,2,2
03Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.97,valeria.diaz@tec.globant.com,2,3
07Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.82,valeria.diaz@tec.globant.com,2,7
08Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.6,valeria.diaz@tec.globant.com,2,8
09Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.72,valeria.diaz@tec.globant.com,2,9
10Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.53,valeria.diaz@tec.globant.com,2,10
13Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.49,valeria.diaz@tec.globant.com,2,13
14Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.97,valeria.diaz@tec.globant.com,2,14
15Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.93,valeria.diaz@tec.globant.com,2,15
16Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.41,valeria.diaz@tec.globant.com,2,16
17Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.9,valeria.diaz@tec.globant.com,2,17
20Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.08,valeria.diaz@tec.globant.com,2,20
21Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.46,valeria.diaz@tec.globant.com,2,21
22Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.24,valeria.diaz@tec.globant.com,2,22
23Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.48,valeria.diaz@tec.globant.com,2,23
24Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.71,valeria.diaz@tec.globant.com,2,24
27Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.58,valeria.diaz@tec.globant.com,2,27
28Feb23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.85,valeria.diaz@tec.globant.com,2,28
01Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.98,ana.gomez@tec.globant.com,3,1
02Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.9,ana.gomez@tec.globant.com,3,2
03Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.52,ana.gomez@tec.globant.com,3,3
06Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.64,ana.gomez@tec.globant.com,3,6
07Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,ana.gomez@tec.globant.com,3,7
08Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,ana.gomez@tec.globant.com,3,8
09Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,ana.gomez@tec.globant.com,3,9
10Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,ana.gomez@tec.globant.com,3,10
13Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.02,ana.gomez@tec.globant.com,3,13
14Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.74,ana.gomez@tec.globant.com,3,14
15Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.31,ana.gomez@tec.globant.com,3,15
16Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.49,ana.gomez@tec.globant.com,3,16
17Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.36,ana.gomez@tec.globant.com,3,17
21Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.64,ana.gomez@tec.globant.com,3,21
22Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.13,ana.gomez@tec.globant.com,3,22
23Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.44,ana.gomez@tec.globant.com,3,23
24Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.87,ana.gomez@tec.globant.com,3,24
27Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.71,ana.gomez@tec.globant.com,3,27
28Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.54,ana.gomez@tec.globant.com,3,28
29Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.06,ana.gomez@tec.globant.com,3,29
30Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.2,ana.gomez@tec.globant.com,3,30
31Mar23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.78,ana.gomez@tec.globant.com,3,31
03Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.25,ana.gomez@tec.globant.com,4,3
04Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.15,ana.gomez@tec.globant.com,4,4
05Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.17,ana.gomez@tec.globant.com,4,5
06Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.84,ana.gomez@tec.globant.com,4,6
10Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.62,ana.gomez@tec.globant.com,4,10
11Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.3,ana.gomez@tec.globant.com,4,11
12Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.27,ana.gomez@tec.globant.com,4,12
13Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.97,ana.gomez@tec.globant.com,4,13
14Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.46,ana.gomez@tec.globant.com,4,14
17Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.64,ana.gomez@tec.globant.com,4,17
18Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.2,ana.gomez@tec.globant.com,4,18
19Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.2,ana.gomez@tec.globant.com,4,19
20Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.12,ana.gomez@tec.globant.com,4,20
21Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.98,ana.gomez@tec.globant.com,4,21
24Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.13,ana.gomez@tec.globant.com,4,24
25Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.47,ana.gomez@tec.globant.com,4,25
26Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.05,ana.gomez@tec.globant.com,4,26
27Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.08,ana.gomez@tec.globant.com,4,27
28Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.24,ana.gomez@tec.globant.com,4,28
29Apr23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.08,ana.gomez@tec.globant.com,4,29
02May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.09,ana.gomez@tec.globant.com,5,2
03May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.19,ana.gomez@tec.globant.com,5,3
04May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,ana.gomez@tec.globant.com,5,4
05May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,ana.gomez@tec.globant.com,5,5
06May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,ana.gomez@tec.globant.com,5,6
08May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.28,ana.gomez@tec.globant.com,5,8
09May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.64,ana.gomez@tec.globant.com,5,9
10May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.25,ana.gomez@tec.globant.com,5,10
11May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.83,ana.gomez@tec.globant.com,5,11
12May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.4,ana.gomez@tec.globant.com,5,12
13May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.11,ana.gomez@tec.globant.com,5,13
15May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.42,ana.gomez@tec.globant.com,5,15
16May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.58,ana.gomez@tec.globant.com,5,16
17May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.34,ana.gomez@tec.globant.com,5,17
18May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.82,ana.gomez@tec.globant.com,5,18
19May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.38,ana.gomez@tec.globant.com,5,19
20May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.37,ana.gomez@tec.globant.com,5,20
22May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.87,ana.gomez@tec.globant.com,5,22
23May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.62,ana.gomez@tec.globant.com,5,23
24May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.88,ana.gomez@tec.globant.com,5,24
25May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.89,ana.gomez@tec.globant.com,5,25
26May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.35,ana.gomez@tec.globant.com,5,26
27May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.06,ana.gomez@tec.globant.com,5,27
29May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.15,ana.gomez@tec.globant.com,5,29
30May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.3,ana.gomez@tec.globant.com,5,30
31May23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.05,ana.gomez@tec.globant.com,5,31
01Jun23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.0,ana.gomez@tec.globant.com,6,1
02Jun23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.52,ana.gomez@tec.globant.com,6,2
03Jun23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.25,ana.gomez@tec.globant.com,6,3
05Jun23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.94,ana.gomez@tec.globant.com,6,5
06Jun23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.8,ana.gomez@tec.globant.com,6,6
07Jun23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.65,ana.gomez@tec.globant.com,6,7
08Jun23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.14,ana.gomez@tec.globant.com,6,8
02Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.24,laura.leon@tec.globant.com,1,2
03Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.43,laura.leon@tec.globant.com,1,3
04Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.5,laura.leon@tec.globant.com,1,4
05Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.43,laura.leon@tec.globant.com,1,5
06Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.48,laura.leon@tec.globant.com,1,6
09Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.07,laura.leon@tec.globant.com,1,9
10Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.08,laura.leon@tec.globant.com,1,10
11Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.16,laura.leon@tec.globant.com,1,11
12Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.34,laura.leon@tec.globant.com,1,12
13Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.07,laura.leon@tec.globant.com,1,13
16Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.25,laura.leon@tec.globant.com,1,16
17Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.07,laura.leon@tec.globant.com,1,17
18Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.38,laura.leon@tec.globant.com,1,18
19Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.2,laura.leon@tec.globant.com,1,19
20Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.43,laura.leon@tec.globant.com,1,20
23Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.26,laura.leon@tec.globant.com,1,23
24Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.13,laura.leon@tec.globant.com,1,24
25Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.48,laura.leon@tec.globant.com,1,25
26Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.11,laura.leon@tec.globant.com,1,26
27Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.35,laura.leon@tec.globant.com,1,27
30Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.29,laura.leon@tec.globant.com,1,30
31Jan23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.27,laura.leon@tec.globant.com,1,31
01Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.24,valeria.diaz@tec.globant.com,2,1
02Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.27,valeria.diaz@tec.globant.com,2,2
03Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.36,valeria.diaz@tec.globant.com,2,3
07Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.15,valeria.diaz@tec.globant.com,2,7
08Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.29,valeria.diaz@tec.globant.com,2,8
09Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.11,valeria.diaz@tec.globant.com,2,9
10Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.37,valeria.diaz@tec.globant.com,2,10
13Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.53,valeria.diaz@tec.globant.com,2,13
14Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.32,valeria.diaz@tec.globant.com,2,14
15Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.23,valeria.diaz@tec.globant.com,2,15
16Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.29,valeria.diaz@tec.globant.com,2,16
17Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.41,valeria.diaz@tec.globant.com,2,17
20Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.31,valeria.diaz@tec.globant.com,2,20
21Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.37,valeria.diaz@tec.globant.com,2,21
22Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.05,valeria.diaz@tec.globant.com,2,22
23Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.44,valeria.diaz@tec.globant.com,2,23
24Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.53,valeria.diaz@tec.globant.com,2,24
27Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.37,valeria.diaz@tec.globant.com,2,27
28Feb23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.39,valeria.diaz@tec.globant.com,2,28
01Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.5,ana.gomez@tec.globant.com,3,1
02Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.46,ana.gomez@tec.globant.com,3,2
03Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.48,ana.gomez@tec.globant.com,3,3
06Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.38,ana.gomez@tec.globant.com,3,6
07Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.32,ana.gomez@tec.globant.com,3,7
08Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.5,ana.gomez@tec.globant.com,3,8
09Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.37,ana.gomez@tec.globant.com,3,9
10Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.33,ana.gomez@tec.globant.com,3,10
13Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.16,ana.gomez@tec.globant.com,3,13
14Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.44,ana.gomez@tec.globant.com,3,14
15Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.04,ana.gomez@tec.globant.com,3,15
16Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.18,ana.gomez@tec.globant.com,3,16
17Mar23,Mariana Bravo,Software Developer,1,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.1,ana.gomez@tec.globant.com,3,17
